scene,dur_s,words,title
scene_01,25.73,65,You glance at someone you know on the st
scene_02,29.21,71,What troubles AI the most? Not the diffe
scene_03,57.21,133,Today; facing a face recognition problem
scene_04,35.85,88,EBGM is built on three pillars; unlike m
scene_05,36.55,87,Let's start micro. How does the AI see a
scene_06,28.56,76,Now; throw the whole bank of 40 gabber w
scene_07,36.55,95,With two jets; how does the machine know
scene_08,23.64,50,Sprinkle these jets onto the landmarks; 
scene_09,25.50,64,But your graph can't perfectly fit my fa
scene_10,26.15,68,How do we know the graph is correctly fi
scene_11,46.39,113,And here it is; the heart of the algorit
scene_12,22.38,60,Once the elastic grid is locked onto the
scene_13,36.87,82,Beautiful theory; but how about reality?
scene_14,44.44,95,However; at small rotation angles; 11 de
scene_15,35.53,78,Zoom out; and EBGM solves a broad class 
scene_16,24.06,51,Elastic bunch graph matching is a sympho
TOTAL,535,,8:54
